id;DS100;name;VERKEHR;longitude;latitude
8010322;WSN;Schwaan;RV;12.117894;53.939188
8005439;NSC;Schwabach;RV;11.035132;49.325902
8005440;NSCL;Schwabach-Limbach;RV;11.044422;49.338233
8005442;MSHH;Schwabhausen(b Dachau);RV;11.364758;48.300517
8000329;TSG;Schwäbisch Gmünd;FV;9.787795;48.801011
8005449;TSHL;Schwäbisch Hall;RV;9.733359;49.10821
8000330;TSHT;Schwäbisch Hall-Hessental;RV;9.767373;49.096732
8005444;MSMN;Schwabmünchen;RV;10.768291;48.178688
8005445;TSWA;Schwabsberg;RV;10.138893;48.92519
8005451;NSAI;Schwaig;RV;11.200442;49.471494
8070156;TSWO;Schwaigern Ost;RV;9.069164;49.140544
8005453;TSWG;Schwaigern(Württ);RV;9.05644;49.138366
8071002;TSWW;Schwaigern(Württ) West;RV;9.042472;49.138813
8005454;TSWK;Schwaikheim;RV;9.354943;48.86834
8005455;FSTS;Schwalbach(Taunus)Limes;RV;8.52797;50.154354
8005456;FSLN;Schwalbach(Taunus)Nord;RV;8.534777;50.15986
8012929;USWL;Schwallungen;nur DPN;10.346514;50.689385
8006401;FWRA;Schwalmstadt-Wiera;RV;9.136421;50.881937
8000027;NSCH;Schwandorf;FV;12.104219;49.326139
8012933;WSAH;Schwanheide;RV;10.689993;53.428156
8012934;BSHE;Schwante;RV;13.091733;52.734683
8005457;HSWS;Schwarmstedt;nur DPN;9.624754;52.67888
8012937;USCG;Schwarzburg;RV;11.181031;50.642817
8005465;NSW;Schwarzenbach(b Pressath);nur DPN;11.992901;49.724702
8005466;NSBS;Schwarzenbach(Saale);RV;11.935887;50.220374
8005468;ASWA;Schwarzenbek;RV;10.484736;53.503733
8006715;RSW;Schwarzenberg;RV;8.383851;48.598672
8012938;DSCH;Schwarzenberg Hp;RV;12.786451;50.532368
8010323;DSC;Schwarzenberg(Erzg);RV;12.786824;50.545119
8012939;DSCN;Schwarzenberg-Neuwelt;RV;12.765726;50.554379
8005469;NSDO;Schwarzenfeld(Opf);nur DPN;12.130637;49.392751
8012941;BSRO;Schwarzheide Ost;RV;13.890799;51.473649
8012942;BSKL;Schwarzkollm;RV;14.133566;51.443187
8012943;WSC;Schwedt(Oder);RV;14.290507;53.063069
8012944;WSCT;Schwedt(Oder)Mitte;RV;14.271588;53.068323
8005476;SSWE;Schweich(DB);RV;6.740335;49.831062
8007860;RSHF;Schweighofen;RV;7.999224;49.032686
8012946;DSKH;Schweikershain;RV;12.955222;51.037376
8000032;NS;Schweinfurt Hbf;RV;10.212919;50.035313
8005479;NSMT;Schweinfurt Mitte;RV;10.228786;50.040173
8005481;NSST;Schweinfurt Stadt;RV;10.244297;50.046808
8012947;DSU;Schweinsburg-Culten;RV;12.369588;50.78714
8005485;NSWF;Schweinsdorf;RV;10.22702;49.40069
8000033;KSWE;Schwelm;RV;7.289681;51.290526
8005488;KSWW;Schwelm West;RV;7.269619;51.285646
8005489;MSWN;Schwenningen(Bay);nur DPN;10.642895;48.65646
8005490;RSCV;Schwenningen(Neckar);RV;8.535862;48.05977
8012949;WSWN;Schwenzin;RV;12.612018;53.536187
8071495;KSH;Schweppenburg-Heilbrunnen;nur DPN;7.309218;50.466037
8010324;WS;Schwerin Hbf;FV;11.407455;53.634739
8012940;WSMI;Schwerin Mitte;RV;11.405334;53.626911
8012951;WSS;Schwerin Süd;RV;11.376636;53.574273
8010325;WSGN;Schwerin-Görries;RV;11.384935;53.609373
8012953;WSL;Schwerin-Lankow;nur DPN;11.369536;53.656656
8012960;WSMH;Schwerin-Margaretenhof;nur DPN;11.360973;53.658552
8012954;WSWZ;Schwerin-Warnitz;nur DPN;11.345565;53.6617
8013354;WWST;Schwerin-Wüstmark;nur DPN;11.399627;53.584045
8000037;ESRT;Schwerte(Ruhr);RV;7.55896;51.442281
8070693;DSWOP;Schweta Bf;nur DPN;13.078225;51.24077
8070692;DSWO;Schweta Gasth;nur DPN;13.084558;51.245226
8005494;RSZ;Schwetzingen;RV;8.578679;49.383434
8007326;TSBD;Schwieberdingen;nur DPN;9.071396;48.870579
8005495;MSDG;Schwindegg;RV;12.249699;48.273193
8005497;RSST;Schwörstadt;RV;7.870328;47.591019
8012959;DSEB;Sebnitz(Sachs);RV;14.272563;50.975952
